stockId,stockName,marketCap,profitOrLoss,lastUpdated
1,Alpha Corp,250000000,PROFIT,2025-05-06
2,Beta Ltd,185000000,LOSS,2025-05-06
3,Gamma Inc,320000000,PROFIT,2025-05-06
4,Delta Tech,145000000,PROFIT,2025-05-06
5,Epsilon Systems,210000000,LOSS,2025-05-06
6,Zeta Solutions,175000000,PROFIT,2025-05-06
7,Eta Holdings,265000000,LOSS,2025-05-06
8,Theta Networks,295000000,PROFIT,2025-05-06
9,Iota Trading,125000000,PROFIT,2025-05-06
10,Kappa Ventures,200000000,LOSS,2025-05-06
11,Lambda Enterprises,230000000,PROFIT,2025-05-06
12,Mu Dynamics,240000000,LOSS,2025-05-06
13,Nu Services,260000000,PROFIT,2025-05-06
14,Xi Group,280000000,PROFIT,2025-05-06
15,Omicron Corp,300000000,LOSS,2025-05-06
16,Pi Tech,310000000,PROFIT,2025-05-06
17,Rho Networks,190000000,PROFIT,2025-05-06
18,Sigma Inc,170000000,LOSS,2025-05-06
19,Tau Ltd,150000000,PROFIT,2025-05-06
20,Upsilon Ventures,165000000,PROFIT,2025-05-06
21,Phi Technologies,275000000,LOSS,2025-05-06
22,Chi Holdings,180000000,PROFIT,2025-05-06
23,Psi Traders,160000000,LOSS,2025-05-06
24,Omega Capital,290000000,PROFIT,2025-05-06
25,Aeon Corp,195000000,LOSS,2025-05-06
26,Beacon Systems,215000000,PROFIT,2025-05-06
27,Cascade Ltd,235000000,LOSS,2025-05-06
28,Denali Inc,245000000,PROFIT,2025-05-06
29,Elara Enterprises,255000000,LOSS,2025-05-06
30,Flare Networks,265000000,PROFIT,2025-05-06
31,Genesis Corp,275000000,PROFIT,2025-05-06
32,Horizon Tech,285000000,LOSS,2025-05-06
33,Ignite Ltd,295000000,PROFIT,2025-05-06
34,Jetstream Inc,305000000,LOSS,2025-05-06
35,Keystone Ventures,315000000,PROFIT,2025-05-06
36,Luxor Systems,325000000,PROFIT,2025-05-06
37,Mercury Holdings,335000000,LOSS,2025-05-06
38,Nebula Networks,345000000,PROFIT,2025-05-06
39,Orion Traders,355000000,LOSS,2025-05-06
40,Phoenix Corp,365000000,PROFIT,2025-05-06
41,Quasar Ltd,375000000,LOSS,2025-05-06
42,Radiant Inc,385000000,PROFIT,2025-05-06
43,Starlight Group,395000000,LOSS,2025-05-06
44,Titan Systems,405000000,PROFIT,2025-05-06
45,Umbra Ventures,415000000,PROFIT,2025-05-06
46,Vega Enterprises,425000000,LOSS,2025-05-06
47,Wyvern Tech,435000000,PROFIT,2025-05-06
48,Xylon Holdings,445000000,LOSS,2025-05-06
49,Yukon Networks,455000000,PROFIT,2025-05-06
50,Zypher Ltd,465000000,LOSS,2025-05-06
51,Astra Corp,250000000,PROFIT,2025-05-06
52,Borealis Ltd,185000000,LOSS,2025-05-06
53,Celestial Inc,320000000,PROFIT,2025-05-06
54,Dynamo Tech,145000000,PROFIT,2025-05-06
55,Echelon Systems,210000000,LOSS,2025-05-06
56,Fusion Solutions,175000000,PROFIT,2025-05-06
57,Gravity Holdings,265000000,LOSS,2025-05-06
58,Helix Networks,295000000,PROFIT,2025-05-06
59,Infinitum Trading,125000000,PROFIT,2025-05-06
60,Jetline Ventures,200000000,LOSS,2025-05-06
61,Krypton Enterprises,230000000,PROFIT,2025-05-06
62,Lunaris Dynamics,240000000,LOSS,2025-05-06
63,Magma Services,260000000,PROFIT,2025-05-06
64,Nova Group,280000000,PROFIT,2025-05-06
65,OmegaX Corp,300000000,LOSS,2025-05-06
66,Polaris Tech,310000000,PROFIT,2025-05-06
67,Quotient Networks,190000000,PROFIT,2025-05-06
68,Rocket Inc,170000000,LOSS,2025-05-06
69,Solaris Ltd,150000000,PROFIT,2025-05-06
70,Turbine Ventures,165000000,PROFIT,2025-05-06